Page;Matricule du point
1;B 068
2;B 108
3;B 035
4;B 053
5;B 019
6;B 079
7;B 106
8;B 093
9;B 092
10;B 050
11;B 040
12;B 096
13;B 125
14;B 095
15;B 088
16;B 114
17;B 012
18;B 117
19;B 091
20;B 002
21;B 123
22;B 046
23;B 115
24;B 077
25;B 121
26;B 038
27;B 086
28;B 118
29;B 130
30;B 027
31;B 075
32;B 102
33;B 122
34;B 067
35;B 025
36;B 320
37;B 034
38;B 001
39;B 133
40;B 502
41;B 005
42;B 047
43;B 052
44;B 097
45;B 072
46;B 124
47;B 143
48;B 064
49;B 104
50;B 039
51;B 004
52;B 131
53;B 029
54;B 110
55;B 101
56;B 063
57;B 142
58;B 016
59;B 089
60;B 076
61;B 120
62;B 132
63;B 082
64;B 054
65;B 061
66;B 113
67;B 032
68;B 116
69;B 119
70;B 042
71;B 024
72;B 010
73;B 085
74;B 003
75;B 098
76;B 103
77;B 078
78;B 099
79;B 011
80;B 094
81;B 066
82;B 100
83;B 070
84;B 051
85;B 493
86;B 128
87;B 129
88;B 026
89;B 017
90;B 501
91;B 126
