Page;Matricule du Point
1;B 381
2;B 398
3;B 310
4;B 280
5;B 302
6;B 413
7;B 382
8;B 385
9;B 380
10;B 282
11;B 287
12;B 367
13;B 298
14;B 293
15;B 392
16;B 403
17;B 297
18;B 288
19;B 375
20;B 292
21;B 314
22;B 296
23;B 295
24;B 291
25;B 303
26;B 300
27;B 304
28;B 377
29;B 389
30;B 305
31;B 391
32;B 396
33;B 376
34;B 383
35;B 308
36;B 299
37;B 283
38;B 312
39;B 309
40;B 315
41;B 325
42;B 384
43;B 332
44;B 307
45;B 281
46;B 294
47;B 313
48;B 290
49;B 379
50;B 404
51;B 378
52;B 393
53;B 402
54;B 289
55;B 366
56;B 311
57;B 301
58;B 504
59;B 386
60;B 453
61;B 371
62;B 374
63;B 400
